,entityName,state,year,quarter,count,amount
306,kurnool,andhra-pradesh,2019,1,4193432,5541564892.509682
307,anantapur,andhra-pradesh,2019,1,3891336,6044730653.191345
308,spsr nellore,andhra-pradesh,2019,1,3333584,5161932216.216368
309,prakasam,andhra-pradesh,2019,1,2931081,4807527779.215151
310,ysr,andhra-pradesh,2019,1,2852197,4915811593.896078
311,530001,andhra-pradesh,2019,1,950821,1529039457.6419592
312,517501,andhra-pradesh,2019,1,922416,1244725311.4573965
313,520001,andhra-pradesh,2019,1,814616,1462807205.627422
314,530016,andhra-pradesh,2019,1,684611,960022481.5524917
315,517507,andhra-pradesh,2019,1,671661,1009128524.8128469
316,515001,andhra-pradesh,2019,1,609682,1009938283.8464416
317,518502,andhra-pradesh,2019,1,545426,389782596.9665674
318,530003,andhra-pradesh,2019,1,527667,590799502.8850918
319,530017,andhra-pradesh,2019,1,472914,531596255.9349663
320,520010,andhra-pradesh,2019,1,460133,774931063.0289192
321,visakhapatnam,andhra-pradesh,2019,2,11705738,20797479804.029076
322,krishna,andhra-pradesh,2019,2,6428472,13437029115.620754
323,chittoor,andhra-pradesh,2019,2,5983308,10982727976.224325
324,guntur,andhra-pradesh,2019,2,5005275,10405246943.481495
325,east godavari,andhra-pradesh,2019,2,4699261,9116404622.47651
326,kurnool,andhra-pradesh,2019,2,3895824,7358285187.018034
327,anantapur,andhra-pradesh,2019,2,3578836,7830782361.3776655
328,spsr nellore,andhra-pradesh,2019,2,3141891,6880873007.4820595
329,prakasam,andhra-pradesh,2019,2,2670529,6262396448.455348
330,ysr,andhra-pradesh,2019,2,2606284,6376856828.130632
331,530001,andhra-pradesh,2019,2,2602865,5218795715.70141
332,520001,andhra-pradesh,2019,2,1828617,3823390190.0922346
333,517501,andhra-pradesh,2019,2,949187,1669949938.5076957
334,522001,andhra-pradesh,2019,2,839909,1759418775.980979
335,530016,andhra-pradesh,2019,2,793798,1257915825.5688605
336,517507,andhra-pradesh,2019,2,760335,1412863012.2407691
337,515001,andhra-pradesh,2019,2,567306,1282118916.2094193
338,530003,andhra-pradesh,2019,2,520142,718170914.395836
339,520010,andhra-pradesh,2019,2,490697,973983824.5472903
340,530017,andhra-pradesh,2019,2,480905,650710126.3382195
341,visakhapatnam,andhra-pradesh,2019,3,16694947,26944837120.046288
342,krishna,andhra-pradesh,2019,3,8408474,16404073560.500784
343,chittoor,andhra-pradesh,2019,3,8201783,13837455758.755266
344,guntur,andhra-pradesh,2019,3,6942304,13075661264.188034
345,east godavari,andhra-pradesh,2019,3,6537303,11387726470.57774
346,kurnool,andhra-pradesh,2019,3,5139134,9025632779.412457
347,anantapur,andhra-pradesh,2019,3,4889720,9554081289.488277
348,spsr nellore,andhra-pradesh,2019,3,4150195,8256600118.735449
349,prakasam,andhra-pradesh,2019,3,3430750,7354502261.150911
350,ysr,andhra-pradesh,2019,3,3296586,7447544274.2117815
351,530001,andhra-pradesh,2019,3,2944756,6693257653.901131
352,520001,andhra-pradesh,2019,3,1905190,4414503365.699517
353,517501,andhra-pradesh,2019,3,1434209,2203932856.2972074
354,530016,andhra-pradesh,2019,3,1196020,1658162548.562835
355,517507,andhra-pradesh,2019,3,1060513,1854927351.7366562
356,522001,andhra-pradesh,2019,3,1003916,2216532548.7258
357,515001,andhra-pradesh,2019,3,868052,1667826831.8650486
358,530003,andhra-pradesh,2019,3,858005,970993081.1712441
359,530017,andhra-pradesh,2019,3,799271,911939243.0618924
360,530026,andhra-pradesh,2019,3,711726,1095056835.9858122
361,visakhapatnam,andhra-pradesh,2019,4,23594874,39133296330.04462
362,krishna,andhra-pradesh,2019,4,11719402,23039786404.046635
363,chittoor,andhra-pradesh,2019,4,11246986,19298476027.875484
364,guntur,andhra-pradesh,2019,4,9761330,18565626418.035915
365,east godavari,andhra-pradesh,2019,4,9285739,16816774065.301317
366,kurnool,andhra-pradesh,2019,4,7001958,13233105728.54823
367,anantapur,andhra-pradesh,2019,4,6764112,13887248889.064064
368,spsr nellore,andhra-pradesh,2019,4,5877804,11786014089.194025
369,prakasam,andhra-pradesh,2019,4,4865473,10604077824.801035
370,ysr,andhra-pradesh,2019,4,4793157,10865073855.730782
371,530001,andhra-pradesh,2019,4,4185063,9160387223.4497
372,520001,andhra-pradesh,2019,4,2544877,5933007156.535349
373,517501,andhra-pradesh,2019,4,1920211,3073084029.9256625
374,530016,andhra-pradesh,2019,4,1591033,2295184224.145106
375,530026,andhra-pradesh,2019,4,1438154,2509394595.5414515
376,517507,andhra-pradesh,2019,4,1406768,2478459132.7705936
377,522001,andhra-pradesh,2019,4,1324202,2927313967.683236
378,515001,andhra-pradesh,2019,4,1202983,2376869516.684207
379,530003,andhra-pradesh,2019,4,1131832,1339103327.887921
380,530017,andhra-pradesh,2019,4,1084796,1266927471.3317952
381,visakhapatnam,andhra-pradesh,2020,1,27115031,48809747614.678894
382,chittoor,andhra-pradesh,2020,1,13257740,23441848567.344193
383,krishna,andhra-pradesh,2020,1,12175289,24481702770.714714
384,guntur,andhra-pradesh,2020,1,11493331,22992734620.64621
385,east godavari,andhra-pradesh,2020,1,11346242,21854701379.428688
386,anantapur,andhra-pradesh,2020,1,8466129,17864325752.82528
387,kurnool,andhra-pradesh,2020,1,8246869,17022710311.813044
388,spsr nellore,andhra-pradesh,2020,1,7430247,15387829694.446861
389,prakasam,andhra-pradesh,2020,1,6318396,14169104764.526735
390,ysr,andhra-pradesh,2020,1,6031255,14059924636.819914
391,530026,andhra-pradesh,2020,1,6695271,15258657486.862274
392,517501,andhra-pradesh,2020,1,2196548,3731404465.729061
393,530016,andhra-pradesh,2020,1,1661816,2593325339.0472875
394,517507,andhra-pradesh,2020,1,1554974,2719620696.0325623
395,515001,andhra-pradesh,2020,1,1346804,2696427930.6755033
396,530003,andhra-pradesh,2020,1,1159480,1519955258.5314608
397,524002,andhra-pradesh,2020,1,1125194,2653339803.95633
398,530017,andhra-pradesh,2020,1,1104748,1412381495.9440272
399,520010,andhra-pradesh,2020,1,1098395,2059547223.1742206
400,522001,andhra-pradesh,2020,1,1058410,2575723775.0488396
401,visakhapatnam,andhra-pradesh,2020,2,25300401,48293889917.41437
402,chittoor,andhra-pradesh,2020,2,14848197,27361300300.01902
403,east godavari,andhra-pradesh,2020,2,13130334,26319906327.32029
404,krishna,andhra-pradesh,2020,2,12313709,26964149095.36629
405,guntur,andhra-pradesh,2020,2,12308707,27463593607.83911
406,anantapur,andhra-pradesh,2020,2,10473739,22094006659.412506
407,kurnool,andhra-pradesh,2020,2,9821381,22419372061.805172
