,name,registeredUsers,state,year,quarter
388,west godavari,843835,andhra-pradesh,2020,1
389,spsr nellore,775440,andhra-pradesh,2020,1
390,prakasam,748655,andhra-pradesh,2020,1
391,517501,146823,andhra-pradesh,2020,1
392,517507,129214,andhra-pradesh,2020,1
393,530016,114042,andhra-pradesh,2020,1
394,515001,111359,andhra-pradesh,2020,1
395,518002,102905,andhra-pradesh,2020,1
396,516001,102893,andhra-pradesh,2020,1
397,516360,89774,andhra-pradesh,2020,1
398,530026,87449,andhra-pradesh,2020,1
399,524002,85878,andhra-pradesh,2020,1
400,520010,85779,andhra-pradesh,2020,1
401,visakhapatnam,1904719,andhra-pradesh,2020,2
402,east godavari,1459116,andhra-pradesh,2020,2
403,krishna,1459041,andhra-pradesh,2020,2
404,guntur,1426271,andhra-pradesh,2020,2
405,chittoor,1385916,andhra-pradesh,2020,2
406,anantapur,1076953,andhra-pradesh,2020,2
407,kurnool,1035093,andhra-pradesh,2020,2
408,west godavari,944829,andhra-pradesh,2020,2
409,spsr nellore,854459,andhra-pradesh,2020,2
410,prakasam,830709,andhra-pradesh,2020,2
411,517501,156221,andhra-pradesh,2020,2
412,517507,138735,andhra-pradesh,2020,2
413,530016,120621,andhra-pradesh,2020,2
414,515001,119223,andhra-pradesh,2020,2
415,518002,112673,andhra-pradesh,2020,2
416,516001,111898,andhra-pradesh,2020,2
417,516360,98803,andhra-pradesh,2020,2
418,524002,93834,andhra-pradesh,2020,2
419,530026,93224,andhra-pradesh,2020,2
420,520010,91299,andhra-pradesh,2020,2
421,visakhapatnam,2058346,andhra-pradesh,2020,3
422,east godavari,1601940,andhra-pradesh,2020,3
423,krishna,1599289,andhra-pradesh,2020,3
424,guntur,1567595,andhra-pradesh,2020,3
425,chittoor,1506503,andhra-pradesh,2020,3
426,anantapur,1186851,andhra-pradesh,2020,3
427,kurnool,1132240,andhra-pradesh,2020,3
428,west godavari,1053674,andhra-pradesh,2020,3
429,spsr nellore,937176,andhra-pradesh,2020,3
430,prakasam,915240,andhra-pradesh,2020,3
431,517501,166768,andhra-pradesh,2020,3
432,517507,149001,andhra-pradesh,2020,3
433,515001,128227,andhra-pradesh,2020,3
434,530016,128059,andhra-pradesh,2020,3
435,518002,121529,andhra-pradesh,2020,3
436,516001,120997,andhra-pradesh,2020,3
437,516360,108073,andhra-pradesh,2020,3
438,524002,102103,andhra-pradesh,2020,3
439,530026,99754,andhra-pradesh,2020,3
440,520010,97752,andhra-pradesh,2020,3
441,visakhapatnam,2209658,andhra-pradesh,2020,4
442,east godavari,1746280,andhra-pradesh,2020,4
443,krishna,1744028,andhra-pradesh,2020,4
444,guntur,1712940,andhra-pradesh,2020,4
445,chittoor,1631331,andhra-pradesh,2020,4
